ID_Transaccion,Fecha,ID_Cliente,Nombre_Cliente,Categoria_Producto,Producto,Cantidad,Precio_Unitario,Descuento_Porcentaje,Total_Bruto,Total_Neto,Metodo_Pago,Region,Estado_Envio,Valoracion_Cliente,Tiempo_Entrega_Dias
TXN000001,2023-11-01,CLT1435,Juan García,Juguetes,Muñeca,4,47.55,0,190.2,190.2,Transferencia,Madrid,En Tránsito,5.0,8.0
TXN000002,2023-11-01,CLT2776,Francisco Díaz,Libros,Libro Cocina,5,30.55,15,152.75,129.84,Tarjeta Crédito,Valencia,Entregado,4.0,8.0
TXN000003,2023-11-01,CLT3188,Carlos Martínez,Hogar,Cojín,3,99.52,0,298.56,298.56,Tarjeta Crédito,Barcelona,Entregado,4.0,1.0
TXN000004,2023-11-01,CLT1073,María López,Libros,Guía Viaje,5,14.29,0,71.45,71.45,Tarjeta Crédito,Madrid,En Tránsito,2.0,1.0
TXN000005,2023-11-01,CLT1023,Ana Rodríguez,Juguetes,Muñeca,5,52.1,5,260.5,247.48,Tarjeta Crédito,Madrid,Pendiente,5.0,
TXN000006,2023-11-01,CLT2617,Isabel Gómez,Deportes,Balón Fútbol,2,54.58,5,109.16,103.7,Tarjeta Débito,Valencia,Entregado,5.0,12.0
TXN000007,2023-11-01,CLT1477,Pilar Romero,Juguetes,Muñeca,3,35.11,0,105.33,105.33,PayPal,Madrid,Entregado,5.0,1.0
TXN000008,2023-11-01,CLT1054,María López,Deportes,Balón Fútbol,3,200.25,0,600.75,600.75,PayPal,Valencia,Entregado,4.0,7.0
TXN000009,2023-11-01,CLT1703,María López,Ropa,Jersey,3,18.79,0,56.37,56.37,Tarjeta Crédito,Barcelona,Pendiente,1.0,
TXN000010,2023-11-01,CLT3686,Francisco Díaz,Juguetes,Coche RC,5,23.62,5,118.1,112.2,Tarjeta Crédito,Sevilla,Entregado,1.0,13.0
TXN000011,2023-11-01,CLT2954,Dolores Jiménez,Juguetes,Puzzle,4,39.3,15,157.2,133.62,Tarjeta Crédito,Málaga,Pendiente,2.0,
TXN000012,2023-11-01,CLT2884,Pedro Sánchez,Electrónica,Cámara,3,500.55,25,1501.65,1126.24,Tarjeta Crédito,Valencia,Entregado,4.0,3.0
TXN000013,2023-11-02,CLT3833,Carlos Martínez,Deportes,Raqueta Tenis,5,65.37,10,326.85,294.17,Tarjeta Débito,Sevilla,Entregado,3.0,14.0
TXN000014,2023-11-02,CLT2659,Pilar Romero,Libros,Ensayo,2,19.02,0,38.04,38.04,Tarjeta Crédito,Sevilla,En Tránsito,4.0,4.0
TXN000015,2023-11-02,CLT4558,Laura Fernández,Libros,Novela,4,25.12,20,100.48,80.38,Tarjeta Débito,Málaga,En Tránsito,5.0,1.0
TXN000016,2023-11-02,CLT3694,Pedro Sánchez,Electrónica,Auriculares,2,176.11,5,352.22,334.61,Tarjeta Débito,Madrid,Entregado,,1.0
TXN000017,2023-11-02,CLT4955,Isabel Gómez,Juguetes,Puzzle,4,65.21,0,260.84,260.84,Tarjeta Crédito,Bilbao,En Tránsito,4.0,8.0
TXN000018,2023-11-02,CLT4048,Miguel Torres,Electrónica,Cámara,5,196.67,20,983.35,786.68,Tarjeta Débito,Bilbao,Entregado,4.0,3.0
TXN000019,2023-11-02,CLT3465,Francisco Díaz,Hogar,Cojín,1,119.97,15,119.97,101.97,Tarjeta Crédito,Barcelona,Entregado,,15.0
TXN000020,2023-11-02,CLT3973,María López,Ropa,Chaqueta,4,83.38,10,333.52,300.17,Tarjeta Crédito,Barcelona,Entregado,,7.0
TXN000021,2023-11-02,CLT2993,Pilar Romero,Deportes,Raqueta Tenis,2,92.68,10,185.36,166.82,PayPal,Málaga,Entregado,4.0,13.0
TXN000022,2023-11-02,CLT2240,Francisco Díaz,Libros,Libro Cocina,5,20.18,0,100.9,100.9,Tarjeta Débito,Valencia,Entregado,4.0,4.0
TXN000023,2023-11-03,CLT3533,Carlos Martínez,Juguetes,Peluche,4,76.27,0,305.08,305.08,Tarjeta Crédito,Barcelona,Entregado,4.0,12.0
TXN000024,2023-11-03,CLT4330,Miguel Torres,Libros,Guía Viaje,1,15.78,10,15.78,14.2,Tarjeta Débito,Sevilla,Entregado,3.0,1.0
TXN000025,2023-11-03,CLT4989,Pilar Romero,Ropa,Jersey,1,99.94,0,99.94,99.94,Tarjeta Crédito,Barcelona,Entregado,4.0,8.0
TXN000026,2023-11-03,CLT3526,José Navarro,Electrónica,Cámara,3,119.02,5,357.06,339.21,Tarjeta Débito,Madrid,Entregado,4.0,11.0
TXN000027,2023-11-03,CLT2477,Francisco Díaz,Libros,Biografía,3,16.24,15,48.72,41.41,Tarjeta Débito,Valencia,Pendiente,5.0,
TXN000028,2023-11-03,CLT3828,Ana Rodríguez,Deportes,Cuerda Saltar,2,289.09,15,578.18,491.45,Tarjeta Débito,Valencia,Entregado,4.0,6.0
TXN000029,2023-11-03,CLT3759,Carlos Martínez,Libros,Comic,4,26.31,5,105.24,99.98,PayPal,Bilbao,Entregado,5.0,15.0
TXN000030,2023-11-03,CLT4945,Pilar Romero,Ropa,Chaqueta,4,41.85,15,167.4,142.29,Tarjeta Débito,Barcelona,Entregado,4.0,12.0
TXN000031,2023-11-03,CLT3827,Antonio Moreno,Libros,Comic,3,22.65,15,67.95,57.76,Tarjeta Crédito,Bilbao,Entregado,5.0,8.0
TXN000032,2023-11-04,CLT3765,Ana Rodríguez,Libros,Ensayo,4,17.77,10,71.08,63.97,Tarjeta Crédito,Barcelona,Entregado,5.0,5.0
TXN000033,2023-11-04,CLT2617,Manuel Álvarez,Deportes,Pesas,4,283.13,0,1132.52,1132.52,PayPal,Valencia,Entregado,5.0,4.0
TXN000034,2023-11-04,CLT4295,Juan García,Ropa,Vestido,1,49.68,0,49.68,49.68,Tarjeta Crédito,Madrid,Entregado,3.0,2.0
TXN000035,2023-11-04,CLT2239,Ana Rodríguez,Libros,Biografía,3,18.28,0,54.84,54.84,Tarjeta Débito,Barcelona,En Tránsito,4.0,7.0
TXN000036,2023-11-04,CLT1358,Dolores Jiménez,Hogar,Alfombra,5,146.53,0,732.65,732.65,Tarjeta Débito,Bilbao,En Tránsito,4.0,11.0
TXN000037,2023-11-04,CLT1512,Dolores Jiménez,Hogar,Espejo,3,59.55,0,178.65,178.65,Tarjeta Débito,Madrid,Entregado,5.0,14.0
TXN000038,2023-11-04,CLT1553,Laura Fernández,Hogar,Alfombra,5,37.81,0,189.05,189.05,PayPal,Bilbao,Entregado,2.0,12.0
TXN000039,2023-11-04,CLT1056,Francisco Díaz,Electrónica,Tablet,1,430.01,5,430.01,408.51,Tarjeta Débito,Barcelona,Entregado,4.0,13.0
